text,title,label,type
"we thank you: so farewell. [Exeunt all but Cobham.] COBHAM. Farewell, my noble lords.--My noble lords? My noble villains, bas",Sir John Oldcastle by Shakespeare,1,train
"ughter, if you have not given her leave, I say again, hath made a gross revolt, Tying her duty, beauty, wit, and fortune",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
", and run-- Swifter the winde upon a feild of Corne (Curling the wealthy eares) never flew: Ile venture, And in some poore disgu",The Two Noble Kinsmen by Shakespeare,1,train
". Therefore, we usually do NOT! keep these books in compliance with any particular paper edition. We are now trying to releas",Locrine Mucedorus by Shakespeare,1,train
Look on't again I dare not. LADY MACBETH. Infirm of purpose! Give me the daggers. The sleeping and the dead Are bu,THE TRAGEDY OF MACBETH,0,train
"r Mark Antony, think not of him, For he can do no more than Caesar's arm When Caesar's head is off. CASSIUS. Yet I fea",THE TRAGEDY OF JULIUS CAESAR,0,train
"ook no braves. March on, Assarachus; thou must lead the way, And bring us to their proud pavilion. [Exeunt.] ACT V. SCENE IV.",Locrine Mucedorus by Shakespeare,1,train
"meet.] NICHOLAS. What, Corporal Oath? I am sorry we have met with you, next our hearts; you are the man that we are forbidden",The Puritaine Widdow by Shakespeare,1,train
"earth, Or as the ploughman with his piercing share Renteth the bowels of the fertile fields, And rippeth up the roots with razou",Locrine Mucedorus by Shakespeare,1,train
"turne th'allarme to whispers; that canst make A Criple florish with his Crutch, and cure him Before Apollo; that may'st force th",The Two Noble Kinsmen by Shakespeare,1,train
"ods And wholly gave themselves to witless will, A rude unruly rout, then man to man Became a present prey, then might prevailed,",Locrine Mucedorus by Shakespeare,1,train
", but vouchsafe me hearing: my Uncle, glad of your kindness to me and mild usage--for so I made it to him--has in pity of your d",A Yorkshire Tragedy by Shakespeare,1,train
"things, this means that no one owns a United States copyright on or for this work, so the Project (and you!) can copy and distri",The Merry Devill of Edmonton by Shakespeare,1,train
"d yet went never gay, Fled from her wish and yet said, ""Now I may""; She that, being anger'd, her revenge being nigh,",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"Why, I pray you? CASSIO. Not that I love you not. BIANCA. But that you do not love me. I pray",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"ef receive these lessons from my lips, The true discovers of a Virgins due, Now requisite, now that I know thy mind",Fair Em by Shakespeare,1,train
"int. AMADINE. Ah, now I want my shepherd's company. BREMO. I'll crush thy bones betwixt two oaken trees. AMADINE. Haste, shep",Locrine Mucedorus by Shakespeare,1,train
"ives! IAGO. Hold, ho! Lieutenant- sir- Montano- gentlemen- Have you forgot all place of sense and duty? Hold! the gene",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"ent us, he would seem, Not words, but wounds: not parlays, but alarms, Must be decider of this controversy. Rosi",Fair Em by Shakespeare,1,train
"d the medium on which they may be stored, may contain ""Defects,"" such as, but not limited to, incomplete, inaccurate or corrupt",Fair Em by Shakespeare,1,train
"I warrant thee. Exeunt [Lear, Kent, and Attendants]. Gon. Do you mark that, my lord? Alb. I can",THE TRAGEDY OF KING LEAR,0,train
