text,title,label,type
"does. Lear. Is this well spoken? Reg. I dare avouch it, sir. What, fifty followers? Is it not well? What should you nee",THE TRAGEDY OF KING LEAR,1,train
"n And fire us hence like foxes. Wipe thine eyes. The goodyears shall devour 'em, flesh and fell, Ere they shall m",THE TRAGEDY OF KING LEAR,0,train
ct yourself to know the cause; But let his disposition have that scope That dotage gives it.,THE TRAGEDY OF KING LEAR,0,train
"t, And fix most firm thy resolution. RODERIGO. Be near at hand; I may miscarry in't. IAGO. Here, at thy hand, be bold, a",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"nd soundest of his time hath been but rash; then must we look to receive from his age, not alone the imperfections of",THE TRAGEDY OF KING LEAR,1,train
"ike duty, I now am full resolv'd to take a wife And turn her out to who will take her in. Then let her beauty be her",THE TWO GENTLEMEN OF VERONA,1,train
"d all that offer to defend him, Stand in assured loss. Take up, take up! And follow me, that will to some provision",THE TRAGEDY OF KING LEAR,0,train
thine fright me the more; For such things in a false disloyal knave Are tricks of custom; but in a man that's just,THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"er, sir, the castle. Exeunt. Alarum. SCENE VIII. Another part of the field.",THE TRAGEDY OF MACBETH,0,train
"be seen or heard. Do but look up. Glou. Alack, I have no eyes! Is wretchedness depriv'd that benefit To end itself",THE TRAGEDY OF KING LEAR,1,train
"ther's pains and benefits To laughter and contempt, that she may feel How sharper than a serpent's tooth it is To",THE TRAGEDY OF KING LEAR,1,train
"CDUFF. No, cousin, I'll to Fife. ROSS. Well, I will thither. MACDUFF. Well, may you see things well done there. Adieu,",THE TRAGEDY OF MACBETH,1,train
"u dost meet good hap; and in thy danger, If ever danger do environ thee, Commend thy grievance to my holy prayers, F",THE TWO GENTLEMEN OF VERONA,0,train
"had been blest, she would never have loved the Moor. Blest pudding! Didst thou not see her paddle with the palm of his hand",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"banish'd two on's daughters, and did the third a blessing against his will. If thou follow him, thou must needs wear",THE TRAGEDY OF KING LEAR,0,train
"ov'd him, friend- No father his son dearer. True to tell thee, The grief hath craz'd my wits. What a night 's this!",THE TRAGEDY OF KING LEAR,0,train
"ste, Else, when he is found, that hour is his last. Bear hence this body, and attend our will. Mercy but murders, pa",THE TRAGEDY OF ROMEO AND JULIET,0,train
"de looks so fair and warlike, And that thy tongue some say of breeding breathes, What safe and nicely I might well del",THE TRAGEDY OF KING LEAR,1,train
"nder great as my content To see you here before me. O my soul's joy! If after every tempest come such calms, May the",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
inherit her. DUKE. This discipline shows thou hast been in love. THURIO. And thy advice this night I'll put in practice;,THE TWO GENTLEMEN OF VERONA,1,train
"annot but remember such things were That were most precious to me. Did heaven look on, And would not take their part? Si",THE TRAGEDY OF MACBETH,0,train
g like your precious eye; To lose't or give't away were such perdition As nothing else could match. DESDEMONA.,THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"ost; became his guide, Led him, begg'd for him, sav'd him from despair; Never (O fault!) reveal'd myself unto him",THE TRAGEDY OF KING LEAR,1,train
"read it, afterwards seal it, and again return to bed; yet all this while in a most fast sleep. DOCTOR. A great pertur",THE TRAGEDY OF MACBETH,1,train
"shine) Why, by the verities on thee made good, May they not be my oracles as well And set me up in hope? But hush, n",THE TRAGEDY OF MACBETH,0,train
"ry when you will, it shall have scope; Do what you will, dishonor shall be humor. O Cassius, you are yoked with a lamb,",THE TRAGEDY OF JULIUS CAESAR,0,train
there. Know we have divided In three our kingdom; and 'tis our fast intent To shake all cares and business from our ag,THE TRAGEDY OF KING LEAR,1,train
"ow, Brabantio, in his nightgown, and Servants with torches. BRABANTIO. It is too true an evil: gone s",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"she with a tithe-pig's tail Tickling a parson's nose as 'a lies asleep, Then dreams he of another benefice. Sometime",THE TRAGEDY OF ROMEO AND JULIET,1,train
"ut newly entertain'd revenge, And to't they go like lightning; for, ere I Could draw to part them, was stout Tybalt slai",THE TRAGEDY OF ROMEO AND JULIET,1,train
"ONY. Nay, press not so upon me, stand far off. ALL. Stand back; room, bear back! ANTONY. If you have tears, prepare to shed",THE TRAGEDY OF JULIUS CAESAR,1,train
"LADY MACDUFF. Whither should I fly? I have done no harm. But I remember now I am in this earthly world, where to do har",THE TRAGEDY OF MACBETH,0,train
"done the signiory, Shall out-tongue his complaints. 'Tis yet to know- Which, when I know that boasting is an honor,",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"hat Metellus spake of. Boy, stand aside. Caius Ligarius, how? LIGARIUS. Vouchsafe good morrow from a feeble tongue. BRUT",THE TRAGEDY OF JULIUS CAESAR,0,train
"t that I may read by them. Opens the letter and reads. ""Brutus, thou sleep'st: awake an",THE TRAGEDY OF JULIUS CAESAR,1,train
"is more! His son is elder, sir; His son is thirty. Cap. Will you tell me that? His son was but a ward two years ago.",THE TRAGEDY OF ROMEO AND JULIET,0,train
"riend; And the best quarrels, in the heat, are curs'd By those that feel their sharpness. The question of Cordeli",THE TRAGEDY OF KING LEAR,0,train
"JULIA. Heavy! belike it hath some burden then. LUCETTA. Ay; and melodious were it, would you sing it. JULIA. And why not you",THE TWO GENTLEMEN OF VERONA,0,train
MACBETH. We will speak further. LADY MACBETH. Only look up clear; To alter favor ever is to fear. Leave all the rest t,THE TRAGEDY OF MACBETH,1,train
"f fell deeds, And Caesar's spirit ranging for revenge, With Ate by his side come hot from hell, Shall in these confi",THE TRAGEDY OF JULIUS CAESAR,0,train
blood. Stones have been known to move and trees to speak; Augures and understood relations have By maggot pies and,THE TRAGEDY OF MACBETH,0,train
"t of his eyes, This precious book of love, this unbound lover, To beautify him only lacks a cover. The fish lives in",THE TRAGEDY OF ROMEO AND JULIET,0,train
"llow me, lady. Turn out that eyeless villain. Throw this slave Upon the dunghill. Regan, I bleed apace. Untimely",THE TRAGEDY OF KING LEAR,1,train
"oucester and Edmund. Glou. Alack, alack, Edmund, I like not this unnatural dealing! When I desir'd their leave that I mi",THE TRAGEDY OF KING LEAR,1,train
"and base adversities Make head against my estimation! DUKE. Be it as you shall privately determine, Either for her st",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"n; And I as rich in having such a jewel As twenty seas, if all their sand were pearl, The water nectar, and the rock",THE TWO GENTLEMEN OF VERONA,1,train
"nger knows full well That Caesar is more dangerous than he. We are two lions litter'd in one day, And I the elder an",THE TRAGEDY OF JULIUS CAESAR,0,train
"Enter Desdemona, Iago, and Attendants. DUKE. I think this tale would win my daughter too. Good Brabantio, Take up",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"ome a hot lover. LAUNCE. Why, I tell thee I care not though he burn himself in love. If thou wilt, go with me to the aleho",THE TWO GENTLEMEN OF VERONA,0,train
"MEN. We'll wait upon your lordship. Exeunt. SCENE III. The garden of the castle. Enter Desdemona, Cassio,",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"Lucius! Fast asleep? It is no matter. Enjoy the honey-heavy dew of slumber; Thou hast no figures nor no fantasies, W",THE TRAGEDY OF JULIUS CAESAR,0,train
"The breast of heaven, I did present myself Even in the aim and very flash of it. CASCA. But wherefore did you so much te",THE TRAGEDY OF JULIUS CAESAR,1,train
"is division betwixt the Dukes, and a worse matter than that. I have received a letter this night- 'tis dangerous to b",THE TRAGEDY OF KING LEAR,1,train
"Show me thy thought. IAGO. My lord, you know I love you. OTHELLO. I think thou dost; And for",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
ho! Lucetta! Re-enter LUCETTA LUCETTA. What would your ladyship? JULIA. Is't near dinner time? LUCE,THE TWO GENTLEMEN OF VERONA,0,train
"Is Romeo slaught'red, and is Tybalt dead? My dear-lov'd cousin, and my dearer lord? Then, dreadful trumpet, sound the",THE TRAGEDY OF ROMEO AND JULIET,1,train
"cursed And does blaspheme his breed? Thy royal father Was a most sainted king; the queen that bore thee, Oftener upo",THE TRAGEDY OF MACBETH,0,train
Lear. Now all the plagues that in the pendulous air Hang fated o'er men's faults light on thy daughters! Kent. He hath n,THE TRAGEDY OF KING LEAR,0,train
"us even with you. My Thanes and kinsmen, Henceforth be Earls, the first that ever Scotland In such an honor named. What",THE TRAGEDY OF MACBETH,1,train
"me evening music to her ear. THURIO. How now, Sir Proteus, are you crept before us? PROTEUS. Ay, gentle Thurio; for you know",THE TWO GENTLEMEN OF VERONA,1,train
"a lion, Who glaz'd upon me and went surly by Without annoying me. And there were drawn Upon a heap a hundred ghastly",THE TRAGEDY OF JULIUS CAESAR,0,train
urage to the sticking-place And we'll not fail. When Duncan is asleep- Whereto the rather shall his day's hard journey,THE TRAGEDY OF MACBETH,0,train
"S. Cassius, be content, Speak your griefs softly, I do know you well. Before the eyes of both our armies here, Which",THE TRAGEDY OF JULIUS CAESAR,0,train
"in this cause so far, Prick'd to't by foolish honesty and love, I will go on. I lay with Cassio lately And, being tr",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"How now, Cassio! CASSIO. What's the matter? IAGO. My lord is fall'n into an epilepsy. This is his second fit; he",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"death and business I can tell. Glou. The King is mad. How stiff is my vile sense, That I stand up, and have ingenious fe",THE TRAGEDY OF KING LEAR,1,train
"my children? ROSS. Well too. MACDUFF. The tyrant has not batter'd at their peace? ROSS. No, they were well at peace when",THE TRAGEDY OF MACBETH,0,train
"ho began this? On thy love, I charge thee. IAGO. I do not know. Friends all but now, even now, In quarter, and in terms li",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"'n him home to bed. Ben. He ran this way, and leapt this orchard wall. Call, good Mercutio. Mer. Nay, I'll conjure too.",THE TRAGEDY OF ROMEO AND JULIET,1,train
"opinion, And buy men's voices to commend our deeds. It shall be said his judgement ruled our hands; Our youths and w",THE TRAGEDY OF JULIUS CAESAR,0,train
"Glou. Pursue him, ho! Go after. [Exeunt some Servants]. By no means what? Edm. Persuade me to the murther of yo",THE TRAGEDY OF KING LEAR,1,train
"sent after me. DUKE. Let it be so. Good night to everyone. [To Brabantio.] And, noble signior, If vir",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"Why, Valentine, what braggardism is this? VALENTINE. Pardon me, Proteus; all I can is nothing To her, whose worth makes o",THE TWO GENTLEMEN OF VERONA,1,train
"ay. The oldest have borne most; we that are young Shall never see so much, nor live so long.",THE TRAGEDY OF KING LEAR,0,train
"hat wickedness I do, If this man come to good. 3. Serv. If she live long, And in the end meet the old course of deat",THE TRAGEDY OF KING LEAR,0,train
"rmity seems not in the fiend So horrid as in woman. Gon. O vain fool! Alb. Thou changed and self-cover'd thing, for sha",THE TRAGEDY OF KING LEAR,1,train
"as I were a fool? Goose, an I had you upon Sarum Plain, I'ld drive ye cackling home to Camelot. Corn. What, art tho",THE TRAGEDY OF KING LEAR,1,train
"hee, and on every hand, Enwheel thee round! DESDEMONA. I thank you, valiant Cassio. What tidings can you te",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
"or I neither; but I can tell why a snail has a house. Lear. Why? Fool. Why, to put's head in; not to give it away to his dau",THE TRAGEDY OF KING LEAR,1,train
"ve thews and limbs like to their ancestors. But, woe the while! Our fathers' minds are dead, And we are govern'd with ou",THE TRAGEDY OF JULIUS CAESAR,0,train
"ot do't; They would not, could not do't. 'Tis worse than murther To do upon respect such violent outrage. Resolve",THE TRAGEDY OF KING LEAR,0,train
"Alas, who knows? OTHELLO. You heard her say herself, it was not I. EMILIA. She said so; I must needs report the truth. OT",THE TRAGEDY OF OTHELLO MOOR OF VENICE,0,train
"CAESAR. Nor heaven nor earth have been at peace tonight. Thrice hath Calpurnia in her sleep cried out, ""Help, ho! They m",THE TRAGEDY OF JULIUS CAESAR,1,train
"he field. Your cause of sorrow Must not be measured by his worth, for then It hath no end. SIWARD. Had he his hurts be",THE TRAGEDY OF MACBETH,0,train
"a holy man. I will not entertain so bad a thought. How if, when I am laid into the tomb, I wake before the time tha",THE TRAGEDY OF ROMEO AND JULIET,0,train
"o worse after dinner, I will not part from thee yet. Dinner, ho, dinner! Where's my knave? my fool? Go you and call my",THE TRAGEDY OF KING LEAR,0,train
"t say this weed her love from Valentine, It follows not that she will love Sir Thurio. THURIO. Therefore, as you unwind he",THE TWO GENTLEMEN OF VERONA,1,train
"eved a maid That paragons description and wild fame, One that excels the quirks of blazoning pens, And in the essent",THE TRAGEDY OF OTHELLO MOOR OF VENICE,1,train
